Group   d15NPl	d13CPl	d15NCe	d13CCe
4   11.20   -13.88  9.94    -14.86
4   10.76   -14.43  9.46    -15.29
4   11.32   -14.65  10.08   -15.56
4   10.85   -13.90  9.55    -14.91
4   11.74   -14.12  10.44   -15.06
4   10.46   -10.88  9.14    -11.83
4   10.93   -10.44  9.63    -11.37
5   12.30   -15.33  10.73   -12.91
5   10.67   -13.78  9.65    -11.63
5   11.51   -13.98  8.07    -11.70
5   10.56   -15.22  10.54   -12.35
5   12.51   -15.25  11.00   -13.04
5   13.51   -15.76  10.59   -13.82
5   11.98   -15.78  10.05   -12.21
5   12.20   -15.49  9.44    -11.42
5   10.48   -13.02  10.47   -12.58
5   12.40   -15.30  11.05   -13.08
5   13.00   -15.55  11.21   -12.90
5   11.36   -14.35  10.44   -12.66
5   12.08   -14.99  10.41   -11.73
5   12.39   -14.83  10.77   -12.72
5   12.28   -16.18  10.02   -12.21
5   12.60   -15.01  9.61    -11.51
5   11.30   -12.87  9.52    -11.88
5   11.10   -14.67  9.89    -11.39
5   11.42   -13.84  10.01   -12.41
5   11.49   -14.89  10.04   -11.60
5   12.00   -13.33  10.57   -12.91
5   13.35   -15.04  10.17   -12.34
5   11.97   -14.29  10.80   -12.69
5   13.35   -15.62  11.25   -13.29
5   12.75   -13.99  10.70   -12.55
5   12.55   -15.06  10.81   -12.16
5   12.30   -15.06  10.35   -12.80
5   12.51   -15.00  10.33   -12.31
5   12.61   -14.55  9.22    -11.25
5   10.98   -13.32  9.99    -11.24
5   11.82   -14.34  10.21   -12.20
5   12.27   -14.47  10.36   -12.07
5   12.11   -14.31  9.83    -12.15
5   12.11   -14.18  9.87    -11.55
5   12.89   -16.18  10.64   -12.87
5   12.99   -16.25  10.09   -12.91
5   12.29   -15.92  10.27   -12.41
5   11.89   -15.35  10.26   -13.72
5   12.74   -14.29  10.56   -12.21
5   12.29   -15.92  10.27   -12.41
5   11.89   -15.35  10.26   -13.72
6   10.56   -20.22  10.93   -20.48
6   9.27    -21.40  9.52    -19.91
6   10.54   -19.97  10.66   -20.00
6   10.97   -20.78  10.59   -19.81
6   10.46   -20.61  10.66   -20.38
6   10.56   -20.58  10.80   -20.07
6   10.86   -20.19  11.12   -20.11
6   10.90   -20.71  10.31   -20.63
6   11.06   -20.59  10.07   -20.42
6   10.76   -20.09  10.44   -19.74
6   10.64   -19.37  10.29   -19.33
6   10.94   -20.41  10.93   -20.29
6   10.85   -20.84  10.35   -20.80
6   10.45   -20.75  9.79    -20.65
6   11.15   -20.29  10.97   -19.88
6   11.23   -20.89  10.45   -20.15
6   11.16   -19.69  10.65   -19.46
6   10.94   -20.41  10.21   -20.25
6   11.20   -21.24  10.52   -20.72
6   10.71   -19.33  10.28   -18.98
7   9.55    -25.87  8.94    -25.87
7   8.60    -25.40  8.58    -24.49
7   9.67    -27.23  9.42    -27.14
7   8.17    -27.52  7.98    -27.69
7   9.81    -24.55  9.85    -24.14
7   10.94   -17.36  11.11   -17.18
7   9.49    -24.70  9.37    -24.28
7   9.46    -27.76  9.11    -27.74
7   7.94    -28.92  7.97    -29.07
7   9.77    -25.98  9.66    -25.81
7   8.07    -26.77  8.57    -26.62
7   8.39    -28.76  9.08    -28.78
7   8.95    -27.70  8.86    -27.71
7   9.83    -24.75  9.49    -24.49
7   8.51    -25.47  8.53    -25.40
7   8.86    -26.58  9.25    -26.23
7   7.93    -28.94  8.31    -29.04
7   8.00    -29.13  8.29    -29.21
7   8.33    -26.65  8.21    -26.58
7   8.00    -28.04  7.96    -28.09
7   9.39    -27.50  9.76    -27.48
7   8.01    -29.28  8.27    -29.28
7   7.59    -27.85  7.55    -27.86
7   8.26    -27.41  8.39    -27.47
7   9.49    -27.57  9.24    -27.42
7   8.23    -29.06  7.86    -29.03
7   9.10    -25.98  9.10    -25.74
7   8.21    -28.21  8.24    -28.31
7   9.59    -25.27  8.91    -25.20
7   9.37    -14.43  8.65    -14.44
7   9.47    -27.40  9.35    -27.37
7   8.60    -27.76  8.66    -27.80
8   8.23    -28.45  8.08    -28.70
8   8.39    -27.35  7.92    -27.49
8   8.24    -28.83  8.11    -28.65
8   8.34    -29.39  7.25    -29.03
8   8.36    -28.86  7.75    -28.79
8   7.22    -28.61  6.74    -28.63
8   7.13    -29.27  6.66    -29.35
8   10.64   -20.32  10.98   -18.97
8   8.06    -28.21  7.20    -29.25
8   8.22    -26.30  8.15    -26.20
8   8.92    -28.27  8.93    -28.35
8   9.35    -27.75  9.68    -27.71
8   7.32    -28.55  7.56    -28.99
8   7.66    -27.38  8.02    -27.34
8   8.09    -29.13  7.79    -28.93
8   7.30    -28.66  7.40    -28.75
8   7.33    -29.02  7.71    -29.20
8   7.33    -26.04  7.94    -28.85
8   7.36    -26.06  7.70    -25.98
8   7.49    -28.52  7.76    -29.17
8   8.07    -28.51  7.92    -28.48
8   8.84    -27.93  9.40    -27.46
8   7.93    -29.07  7.69    -29.04
8   7.94    -28.41  7.36    -28.43
8   8.74    -26.42  8.63    -26.20
8   8.26    -27.71  7.92    -27.74
8   9.63    -27.75  8.81    -27.72
8   8.85    -24.28  8.42    -24.19
8   7.55    -28.43  7.60    -28.49
8   10.05   -25.94  9.43    -26.03
8   8.23    -28.00  8.22    -27.92
8   7.74    -28.59  7.64    -28.54
8   9.12    -22.61  8.47    -22.61
8   7.33    -27.34  7.07    -27.24
8   7.54    -27.35  7.78    -27.27
8   8.80    -29.14  9.22    -29.23
